# mode    phonon energy (meV)    IPR
265         31.571539          56.592726
266         31.630260          46.465072
267         31.630260          46.464995
268         31.694603          39.875479
269         31.694603          39.875483
270         31.711080          32.438042
271         31.813654          46.305072
272         31.866605          42.063195
273         31.866606          42.063268
274         31.892934          54.931947
275         31.924886          45.086685
276         31.924887          45.086877
277         32.039745          58.032422
278         32.066793          48.687995
279         32.066794          48.688079
280         32.239653          24.693425
281         32.994606          53.573144
282         32.994607          53.573058
283         33.136798          45.565878
284         33.155742          45.042202
285         33.155743          45.042102
286         33.259634          47.651350
287         33.979578          79.434524
288         35.936539          3.021264
289         35.936539          3.021264
290         36.729078          7.446729
291         38.285918          3.832438
292         42.618746          4.235437
293         42.618747          4.235434
294         45.588882          3.969658
295         46.736565          31.560383
296         46.736565          31.560322
297         46.752289          100.341022
298         47.205936          41.581111
299         47.205939          41.581170
300         47.444234          43.434114
301         47.444235          43.434233
302         48.027694          47.605156
303         48.204534          21.359470
304         48.351416          36.780635
305         48.351419          36.780540
306         48.373321          51.010136
307         48.890932          18.280116
308         49.410689          75.583202
309         49.410692          75.583249
310         49.517589          54.295057
311         49.517591          54.295280
312         49.529842          26.224352
313         49.833907          34.364881
314         49.833907          34.364899
315         50.239707          74.332861
316         50.239709          74.332942
317         50.449034          61.883701
318         50.449036          61.883517
319         50.538454          64.836560
320         50.557639          76.397594
321         50.557641          76.397733
322         50.714981          36.924694
323         50.781016          56.250191
324         50.781016          56.250320
325         50.803969          45.800064
326         50.803970          45.800112
327         50.953888          54.420733
328         51.024305          58.331707
329         51.042319          57.567825
330         51.042320          57.567827
331         51.127532          66.131048
332         51.127535          66.130993
333         51.283294          33.225575
334         51.283295          33.225604
335         51.354618          76.881960
336         51.366544          53.067381
337         51.366545          53.067904
338         51.503210          59.039231
339         51.535941          69.962652
340         51.535942          69.962751
341         51.615721          19.151453
342         51.702942          53.015865
343         51.702943          53.015850
344         51.742909          58.745980
345         51.774941          56.395266
346         51.931099          65.527909
347         51.931101          65.530271
348         51.943000          61.575039
349         51.943001          61.577079
350         52.095893          33.277040
351         52.217555          69.828235
352         52.217557          69.828346
353         52.352571          45.079913
354         52.352571          45.079923
355         52.379072          51.183681
356         52.464613          43.844576
357         52.635940          43.118008
358         52.635940          43.117972
359         52.674732          72.247459
360         52.674733          72.247425
361         52.772116          61.775210
362         52.848298          26.744565
363         52.856444          53.930707
364         52.856446          53.930706
365         53.084547          58.950942
366         53.084549          58.950991
367         53.122881          68.624148
368         53.352650          46.069061
369         53.425507          53.546474
370         53.441933          57.434032
371         53.441934          57.433736
372         53.535724          54.845114
373         53.535725          54.844920
374         53.710158          44.908938
375         53.768889          62.003036
376         53.768891          62.003063
377         54.019670          57.823356
378         54.142182          38.948056
379         54.169057          59.066585
380         54.169059          59.066639
381         54.249525          55.718644
382         54.249525          55.718637
383         54.362065          54.351480
384         54.362065          54.351571
385         54.394798          39.794462
386         54.602368          62.231422
387         54.602369          62.231324
388         54.641336          62.116543
389         54.650572          42.756215
390         54.723923          53.387020
391         54.723924          53.386943
392         54.868441          48.204829
393         54.868441          48.204856
394         55.008394          55.258379
395         55.008394          55.258492
396         55.043989          54.298443
397         55.085308          42.554220
398         55.158294          61.657580
399         55.234765          62.391293
400         55.234766          62.391263
401         55.462663          57.942172
402         55.462664          57.942264
403         55.493288          44.809320
404         55.497080          72.679511
405         55.758268          65.736904
406         55.796405          64.295647
407         55.796406          64.295622
408         55.829912          41.573009
409         55.931892          70.613151
410         55.931893          70.613126
411         56.090899          51.940049
412         56.090899          51.939961
413         56.174861          48.917011
414         56.184407          62.681180
415         56.184409          62.681618
416         56.241794          55.114764
417         56.241795          55.114728
418         56.437960          45.737810
419         56.467638          37.105758
420         56.467639          37.105437
421         56.560495          32.926793
422         56.560495          32.926819
423         56.776289          63.116716
424         56.788713          60.974709
425         56.865791          52.750148
426         56.865792          52.750063
427         57.063248          50.526389
428         57.063249          50.526387
429         57.181240          52.043207
430         57.246634          75.435117
431         57.246635          75.435002
432         57.269166          51.789695
433         57.333856          54.046099
434         57.440183          55.201131
435         57.440183          55.201162
436         57.460036          66.504053
437         57.715064          48.990569
438         57.715064          48.990554
439         57.927575          47.291422
440         57.927575          47.291504
441         57.944415          41.485298
442         58.117873          59.375964
443         58.117874          59.375940
444         58.244764          50.458804
445         58.495886          46.047659
446         58.495887          46.047523
447         58.529417          43.014257
448         58.669570          47.728881
449         58.710783          53.764484
450         58.710784          53.764376
451         59.106061          59.851318
452         59.106061          59.851379
453         59.262119          37.184245
454         59.267786          55.856918
455         59.475433          58.834298
456         59.475434          58.834235
457         59.498099          50.692769
458         59.578179          43.194784
459         59.710286          63.676520
460         59.710286          63.676442
461         59.779629          33.322815
462         60.103866          28.738410
463         60.103867          28.738374
464         60.178278          23.064878
465         60.349220          39.960269
466         60.349221          39.960256
467         60.457427          49.053463
468         60.612208          45.101019
469         60.612209          45.101028
470         60.761564          29.657693
471         61.077912          33.856683
472         61.077912          33.856665
473         61.346686          27.295198
474         61.346687          27.295218
475         61.396914          19.252379
476         61.782218          55.841600
477         61.985553          62.267502
478         61.985553          62.267626
479         62.294791          34.931514
480         62.314029          61.865637
481         62.314030          61.865667
482         62.805087          42.545886
483         62.893653          22.906664
484         62.893654          22.906739
485         63.170647          51.268170
486         63.185718          55.128160
487         63.185719          55.128278
488         63.446108          51.960743
489         63.446108          51.960732
490         63.566628          50.394116
491         63.874491          49.357541
492         63.874491          49.357571
493         64.155127          52.611670
494         64.360968          46.278337
495         64.360970          46.278441
496         64.408844          52.968006
497         64.526338          40.244522
498         64.526339          40.248002
499         64.531683          42.889791
500         64.691238          53.763039
501         64.691239          53.763043
502         64.831694          54.427287
503         64.831694          54.427306
504         65.002775          44.255175
505         65.025757          51.525461
506         65.095337          44.032690
507         65.095337          44.032736
508         65.351039          50.714357
509         65.395473          35.984421
510         65.449422          57.088352
511         65.506075          54.397367
512         65.506076          54.397931
513         65.575440          59.426153
514         65.575441          59.426207
515         65.714316          37.798180
516         65.714317          37.798382
517         65.751078          29.837717
518         65.794861          54.679982
519         65.794861          54.679803
520         65.850896          59.543088
521         65.953071          40.090800
522         66.033493          64.314679
523         66.033494          64.314707
524         66.044384          39.165212
525         66.102707          56.240333
526         66.115074          50.367867
527         66.115075          50.368313
528         66.203827          45.935945
529         66.203828          45.935755
530         66.289719          35.405514
531         66.333708          48.937298
532         66.333709          48.937388
533         66.394971          68.980108
534         66.428319          41.908190
535         66.428320          41.908217
536         66.586287          47.700604
537         66.602910          47.246908
538         66.602911          47.246657
539         66.762081          45.151014
540         66.762081          45.151212
541         66.807928          56.147976
542         67.119446          33.800439
543         67.119448          33.799453
544         67.135579          13.655507
545         67.212889          60.817962
546         67.288041          39.251085
547         67.353711          53.259263
548         67.567329          66.986929
549         67.567330          66.986848
550         67.842567          56.850503
551         67.842569          56.850496
552         67.967211          61.526504
553         68.104975          28.685898
554         68.149983          21.758360
555         68.357233          70.315593
556         68.357234          70.315578
557         68.497421          45.847972
558         68.497423          45.848004
559         68.571075          63.395189
560         68.650207          49.853943
561         68.828009          16.272530
562         68.828010          16.272569
563         68.963017          56.167238
564         69.296648          51.279912
565         69.296650          51.279938
566         70.285534          33.364151
567         70.285536          33.364261
568         70.397964          33.882968
569         70.706516          29.097350
570         77.724217          4.945343
571         77.724220          4.945345
572         82.984367          3.573199
