# mode    phonon energy (meV)    IPR
265         31.349477          39.398580
266         31.380019          50.373997
267         31.380019          50.373997
268         31.474356          59.275248
269         31.474356          59.275248
270         31.483134          63.610955
271         31.562908          38.044229
272         31.725083          48.186608
273         31.727504          38.081279
274         31.727504          38.081280
275         31.800407          42.055340
276         31.800407          42.055340
277         31.855349          48.373895
278         31.856918          35.932258
279         31.856918          35.932258
280         32.146546          20.736903
281         32.809414          41.970390
282         32.811207          55.476319
283         32.811207          55.476320
284         33.011917          51.497149
285         33.011917          51.497149
286         33.070684          55.210378
287         33.864676          77.653737
288         40.822298          3.673842
289         44.795607          5.225737
290         44.795607          5.225737
291         45.769473          6.253212
292         46.015066          10.190046
293         46.015066          10.190046
294         46.472755          114.992611
295         47.468204          73.213760
296         47.468204          73.213760
297         47.660689          78.319638
298         47.660689          78.319638
299         47.841158          51.088514
300         48.101332          52.099464
301         48.101332          52.099464
302         48.755546          48.076512
303         48.816465          78.722654
304         48.816465          78.722654
305         49.207999          20.825549
306         49.255530          27.866802
307         49.339612          53.826784
308         49.339612          53.826784
309         49.672155          22.912724
310         49.810054          65.771746
311         49.810054          65.771746
312         49.894327          42.903017
313         49.894327          42.903017
314         50.363767          46.839768
315         50.363767          46.839768
316         50.515656          29.025701
317         50.561711          70.262301
318         50.561711          70.262301
319         50.649394          40.291875
320         50.742050          54.763125
321         50.742050          54.763125
322         50.808755          64.831541
323         50.926979          41.779846
324         50.926979          41.779846
325         50.950977          65.526337
326         50.992181          60.390301
327         50.992181          60.390301
328         51.068583          40.715254
329         51.104623          55.398624
330         51.132051          60.727777
331         51.132051          60.727777
332         51.166414          61.036608
333         51.166414          61.036608
334         51.238552          48.175255
335         51.267634          43.816148
336         51.267634          43.816148
337         51.352826          82.433589
338         51.352826          82.433589
339         51.465456          55.416948
340         51.465456          55.416947
341         51.487753          46.757169
342         51.539701          48.520325
343         51.539701          48.520325
344         51.651418          56.783957
345         51.651418          56.783957
346         51.685346          19.084940
347         51.706534          54.773511
348         51.717866          66.022310
349         51.717866          66.022310
350         51.873962          34.890232
351         52.009475          71.455800
352         52.009475          71.455800
353         52.049693          53.400401
354         52.049693          53.400401
355         52.204170          66.931200
356         52.204170          66.931200
357         52.220601          58.501681
358         52.227425          41.173274
359         52.525694          21.217211
360         52.538412          63.214682
361         52.538412          63.214682
362         52.621946          52.889300
363         52.621946          52.889300
364         52.695147          67.395134
365         52.695147          67.395134
366         52.853576          53.580491
367         53.010000          55.493633
368         53.010000          55.493633
369         53.253564          64.796653
370         53.257467          26.114081
371         53.364234          57.800888
372         53.364234          57.800888
373         53.368303          70.753745
374         53.482959          63.012814
375         53.498558          59.877426
376         53.498558          59.877426
377         53.704772          39.240646
378         53.827110          55.291237
379         53.869968          58.614145
380         53.869968          58.614145
381         53.911437          63.692870
382         53.911437          63.692870
383         54.099701          65.670877
384         54.099701          65.670877
385         54.226264          62.423316
386         54.299998          26.565636
387         54.402384          64.242726
388         54.402384          64.242726
389         54.494113          44.432579
390         54.610529          62.884804
391         54.610529          62.884804
392         54.672461          67.739960
393         54.672461          67.739960
394         54.755440          60.277045
395         54.852020          66.387522
396         54.852020          66.387522
397         54.957801          62.483916
398         55.009145          58.541047
399         55.009145          58.541047
400         55.085629          39.823412
401         55.142027          60.730008
402         55.142027          60.730008
403         55.160435          55.891642
404         55.356877          59.474071
405         55.356877          59.474071
406         55.442392          52.694067
407         55.478784          59.341867
408         55.518751          69.899265
409         55.518751          69.899265
410         55.872912          65.101151
411         55.904104          65.401184
412         55.904104          65.401184
413         56.024285          67.445521
414         56.024285          67.445521
415         56.111899          47.380168
416         56.153806          58.683368
417         56.153806          58.683368
418         56.159691          62.023135
419         56.159691          62.023135
420         56.353805          48.429497
421         56.384369          64.740361
422         56.384369          64.740361
423         56.397659          58.270954
424         56.509021          61.004870
425         56.509021          61.004870
426         56.621109          39.916543
427         56.621109          39.916543
428         56.625509          73.195908
429         56.804328          55.222338
430         56.804328          55.222338
431         56.925773          54.868997
432         57.017743          64.671736
433         57.017743          64.671736
434         57.060597          50.341170
435         57.174155          55.403643
436         57.190542          53.378779
437         57.406330          58.607803
438         57.406330          58.607803
439         57.512291          47.045080
440         57.512291          47.045080
441         57.524725          75.261438
442         57.637904          31.930203
443         57.759018          70.787155
444         57.759018          70.787155
445         58.256896          57.103229
446         58.330630          49.881297
447         58.330630          49.881297
448         58.366843          61.316318
449         58.555464          50.280605
450         58.555464          50.280605
451         58.697101          46.330147
